"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar","Null"
"1/1/2013","-60.3125","-38.872501373291","4","17.407","9.97699999999998","2.47879008","6.74043165830462","0.608946660050191","21.081467751624",
"1/2/2013","-60.3125","-38.872501373291","4","23.877","7.19200000000001","0","2.85091906157786","0.491967247770438","34.674331897152",
"1/3/2013","-60.3125","-38.872501373291","4","34.377","15.696","0","6.22148249464413","0.354715891325399","33.878760087852",
"1/4/2013","-60.3125","-38.872501373291","4","36.436","21.104","0.1562121864","4.27585364251915","0.31357982071848","30.353458031964",
"1/5/2013","-60.3125","-38.872501373291","4","28.181","18.281","0.21972672","3.76858858632379","0.526169625438131","31.400884694484",
"1/6/2013","-60.3125","-38.872501373291","4","38.18","17.919","0","6.25052843858902","0.317950189110933","33.958671098328",
"1/7/2013","-60.3125","-38.872501373291","4","29.721","16.628","0","6.61275090225045","0.279973367556385","34.28792234694",
"1/8/2013","-60.3125","-38.872501373291","4","26.655","16.021","0","5.50548734391212","0.320326550419759","34.136192684772",
"1/9/2013","-60.3125","-38.872501373291","4","37.147","14.974","0","4.05232373398129","0.318003915438685","33.856568356176",
"1/10/2013","-60.3125","-38.872501373291","4","41.414","21.821","0","3.10304815850772","0.257988354281785","28.324392964164",
"1/11/2013","-60.3125","-38.872501373291","4","39.606","26.827","0.089264196","6.13490945795259","0.232389855016286","32.284003636512",
"1/12/2013","-60.3125","-38.872501373291","4","37.613","18.575","0.0738144","4.44948917260901","0.352565802927917","24.333908285304",
"1/13/2013","-60.3125","-38.872501373291","4","24.443","17.102","0.9106631892","4.76941328488836","0.754127854798824","18.05226062274",
"1/14/2013","-60.3125","-38.872501373291","4","26.373","16.476","0.0120162924","4.61646172693729","0.691660824044257","28.63125795492",
"1/15/2013","-60.3125","-38.872501373291","4","38.206","17.452","0.516700944","3.25971875497516","0.4948351495696","25.543689560748",
"1/16/2013","-60.3125","-38.872501373291","4","35.415","20.202","0.0326156688","3.59229097697661","0.343560770779812","31.80610497798",
"1/17/2013","-60.3125","-38.872501373291","4","20.493","12.192","1.7286292944","4.35621412648675","0.772302763902683","12.833310351348",
"1/18/2013","-60.3125","-38.872501373291","4","25.043","10.215","0","3.14876508011647","0.653866456984698","22.6898222517",
"1/19/2013","-60.3125","-38.872501373291","4","21.203","10.562","0","3.72809264155758","0.638293547317071","32.9548353516",
"1/20/2013","-60.3125","-38.872501373291","4","27.044","10.576","0","3.96110486587331","0.578757045151446","32.996287305396",
"1/21/2013","-60.3125","-38.872501373291","4","32.005","16.708","0","4.12067024010622","0.436424420511527","27.78070502736",
"1/22/2013","-60.3125","-38.872501373291","4","36.439","19.418","0.0017166132","3.99776382192978","0.372402671850661","29.520238492152",
"1/23/2013","-60.3125","-38.872501373291","4","41.337","19.305","2.2899631752","4.05623615571474","0.366078379577382","23.4084099497076",
"1/24/2013","-60.3125","-38.872501373291","4","19.002","14.506","1.615333086","4.61528390828463","0.756508627570452","4.8460619468916",
"1/25/2013","-60.3125","-38.872501373291","4","20.116","12.981","1.7457967728","5.18085012657998","0.525002047681554","20.477186743788",
"1/26/2013","-60.3125","-38.872501373291","4","30.731","13.958","0","3.64281836536912","0.288866350593063","32.342905649484",
"1/27/2013","-60.3125","-38.872501373291","4","34.002","19.479","0","4.22312400179454","0.305603282131926","32.048910585648",
"1/28/2013","-60.3125","-38.872501373291","4","35.868","19.181","0","3.93849653629236","0.402286613941117","30.9589114342464",
"1/29/2013","-60.3125","-38.872501373291","4","31.527","16.576","0.0257491944","2.14564467915286","0.487976230168912","20.455825284",
"1/30/2013","-60.3125","-38.872501373291","4","31.891","21.425","0","3.78107362655321","0.419017332468481","31.047712427124",
"1/31/2013","-60.3125","-38.872501373291","4","42.396","21.041","0","3.39832573219679","0.33804342080457","26.386072596216",
"2/1/2013","-60.3125","-38.872501373291","4","32.819","18.536","0","6.91548971055127","0.33997159621394","30.991764545496",
"2/2/2013","-60.3125","-38.872501373291","4","24.457","15.243","0","4.19092755808599","0.423546356744249","29.8073606338332",
"2/3/2013","-60.3125","-38.872501373291","4","32.142","12.738","0","3.04219501547129","0.317388204094035","31.234063045212",
"2/4/2013","-60.3125","-38.872501373291","4","34.387","18.259","0.1407623328","5.84152983519482","0.34618553394327","28.558414115604",
"2/5/2013","-60.3125","-38.872501373291","4","30.184","17.939","0.0205993656","3.59865189095484","0.605912022486322","27.567349618716",
"2/6/2013","-60.3125","-38.872501373291","4","39.726","21.604","0","4.0541858228918","0.229916608954912","30.305735992944",
"2/7/2013","-60.3125","-38.872501373291","4","38.799","25.084","0","4.31468315860849","0.195957134207058","24.82148750526",
